ANCORA CHUMBADORES LTDA.
SUPORTE Y P/FITAS PERFURADA (L:P033315001);3600;0.638;
CHUMBADOR CBA 1/4 X 2 C/PF 5.6 (L:P036592001);1500;0.60;
CHUMBADOR CBA 3/8x2.1/2 C/PF (L:P036355001);2000;1.232;
FINCAPINO MAGAZINADO AMARELO 27 (L:E000000030);30;23.144;
JAQUETA/CONE P/CHUMB CBA 1/4 (L:P036412001);1000;0.347;
PINO C/ ROSCA ACAO DIRETA 1/4 X 30 X 20 (L:E000001018);5;24.846;
PINO C/ ROSCA ACAO INDIRETA 1/4 X 27 X 11 (L:E000001001);20;26.01;
PINO LISO ACAO INDIRETA 1/4 X 28 C/ARR CONICA 23MM (L:E000001020);40;20.472;
